study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes,doi,doi_source,doi_confidence
S01,S01,Siddharthan & Lall,1982,-0.197,74,UK,1978,1981,I,1,L,PRE,FSTS,ACC,1,0,US MNE sub.,10.1111/j.1468-0084.1982.mp44001001.x,references+openalex,high
S02,S02_e1,Grant,1987,0.145,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg,10.1057/palgrave.jibs.8490413,retrieval_verified,medium
S02,S02_e2,Grant,1987,0.163,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg,10.1057/palgrave.jibs.8490413,retrieval_verified,medium
S02,S02_e3,Grant,1987,0.107,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg,10.1057/palgrave.jibs.8490413,retrieval_verified,medium
S02,S02_e4,Grant,1987,-0.036,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg,10.1057/palgrave.jibs.8490413,retrieval_verified,medium
S03,S03,Sambharya,1995,0.005,53,USA,1988,1992,I,1,L,PRE,GEO,ACC,1,0,US MNEs,,,none
S04,S04,McDougall & Oviatt,1996,-0.03,62,USA,1988,1993,I,1,L,PRE,EXP,ACC,1,0,New ventures,10.1016/0883-9026(95)00081-x,references+tracker+openalex+corpus,high
S05,S05_e1,Tallman & Li,1996,0.01,192,USA,1987,1991,I,1,L,PRE,GEO,ACC,1,0,AMJ,10.2307/256635,references+tracker,high
S05,S05_e2,Tallman & Li,1996,0.19,192,USA,1987,1991,I,1,L,PRE,GEO,ACC,1,0,AMJ,10.2307/256635,references+tracker,high
S06,S06,Hitt et al.,1997,0.01,295,USA,1987,1993,I,1,L,PRE,FSTS,ACC,1,0,AMJ; Innovation mod.,10.2307/256948,references,medium
S07,S07,Wan,1998,0.13,64,Hong Kong,1990,1995,I,1,L,PRE,GEO,ACC,1,0,APJM,,,none
S08,S08_e1,Gomes & Ramaswamy,1999,0.149,95,USA,1989,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; inverted-U,10.1057/palgrave.jibs.8490065,retrieval_verified,medium
S08,S08_e2,Gomes & Ramaswamy,1999,-0.45,95,USA,1989,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; inverted-U,10.1057/palgrave.jibs.8490065,retrieval_verified,medium
S09,S09,Li,2001,0.07,1684,Multi,1993,1997,MX,0,L,PRE,GEO,ACC,1,0,JIE,10.2139/ssrn.305119,retrieval_candidate,suggested
S10,S10,Qian,2002,0.43,71,USA/Multi,1996,1999,I,1,L,PRE,COMP,ACC,1,0,JBV,10.1016/s0883-9026(01)00079-5,references,review
S11,S11,Capar & Kotabe,2003,0.341,81,Germany,1996,1999,I,1,L,PRE,FSTS,ACC,1,0,Services JIBS,10.1057/palgrave.jibs.8400036,references+tracker+openalex,high
