panel,sample,term,b,se,p,n
TCI_full_direct,VNM2015,FSTSc,1.1395,0.5391,0.0345,956
TCI_full_direct,VNM2015,FSTSc2,-2.0878,0.7479,0.0052,956
TCI_full_direct,VNM2015,TCI_full_z,0.0563,0.0492,0.2529,956
TCI_full_direct,VNM2015,DAI_z,-0.0326,0.0507,0.5202,956
TCI_full_moderation,VNM2015,FSTSc,1.3467,0.5978,0.0243,956
TCI_full_moderation,VNM2015,FSTSc2,-2.3499,0.8285,0.0046,956
TCI_full_moderation,VNM2015,TCI_full_z,0.0037,0.0722,0.9597,956
TCI_full_moderation,VNM2015,FSTSc_TCIfull,-0.5453,0.4948,0.2704,956
TCI_full_moderation,VNM2015,FSTSc2_TCIfull,0.6409,0.6939,0.3557,956
TCI_full_moderation,VNM2015,joint_F_TCI_full_interactions,0.7096,,0.4921,956
TCI_full_direct,VNM2023,FSTSc,0.6754,0.4747,0.1548,1013
TCI_full_direct,VNM2023,FSTSc2,-1.2663,0.6459,0.0499,1013
TCI_full_direct,VNM2023,TCI_full_z,0.096,0.0425,0.0237,1013
TCI_full_direct,VNM2023,DAI_z,0.0967,0.0465,0.0374,1013
TCI_full_moderation,VNM2023,FSTSc,0.9488,0.5737,0.0981,1013
TCI_full_moderation,VNM2023,FSTSc2,-1.5792,0.7774,0.0422,1013
TCI_full_moderation,VNM2023,TCI_full_z,0.1169,0.0487,0.0164,1013
TCI_full_moderation,VNM2023,FSTSc_TCIfull,-0.3168,0.3144,0.3137,1013
TCI_full_moderation,VNM2023,FSTSc2_TCIfull,0.185,0.4313,0.6679,1013
TCI_full_moderation,VNM2023,joint_F_TCI_full_interactions,1.8868,,0.1521,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc,1.0325,0.5689,0.0695,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc2,-1.7445,0.7566,0.0211,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,TCI_z,0.1264,0.0448,0.0048,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,DAI_rich_cont_z,-0.0045,0.0831,0.9568,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc_DAI_rich_cont,-0.9326,0.5259,0.0762,1013
